ID  объявления,Количество комнат,Тип,Метро,Адрес,"Площадь, м2",Дом,Цена
316708204,2,Квартира,м. Крылатское (5 мин на машине),"Москва, Рублевское шоссе, 70к5",55.0/15.0,"10/24, Монолитный","80000.0 руб./ За месяц, Залог - 80000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес"
316600457,2,Квартира,м. Молодёжная (2 мин пешком),"Москва, Ельнинская улица, 19",39.0/7.2,"6/12, Блочный","65000.0 руб./ За месяц, Залог - 65000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес"
316565673,"2, Изолированная",Квартира,м. Академическая (15 мин пешком),"Москва, улица Дмитрия Ульянова, 4К1",60.0/40.0/9.0,5/9,"95000.0 руб./ За месяц, Залог - 47500 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес"
315445479,"2, Изолированная",Квартира,м. Щербинка (6 мин на машине),"Москва, Рязановское поселение, улица Логинова, 1к2, ш. Симферопольское (18 км до МКАД), ш. Варшавское (14 км до МКАД)",58.6/31.0/15.0,"7/13, Панельный","59700.0 руб./ За месяц, Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес"
315148881,"2, Изолированная",Квартира,м. Лианозово (16 мин пешком),"Москва, Псковская улица, 9К2",53.8/32.0/9.0,"12/17, Панельный","70000.0 руб./ За месяц, Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес"
315658858,"2, Изолированная",Квартира,м. Солнцево (3 мин пешком),"Москва, улица Богданова, 58, ш. Боровское (5 км до МКАД), ш. Киевское (6 км до МКАД)",49.8/28.0/12.0,"8/18, Панельный","75000.0 руб./ За месяц, Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес"
316113405,2,Квартира,м. Улица Академика Янгеля (22 мин пешком),"Москва, Дорожная улица, 46к2",50.0/23.0/16.5,7/20,"75000.0 руб./ За месяц, Залог - 75000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес"
313303307,"2, Изолированная",Квартира,м. Коммунарка (16 мин пешком),"Москва, пос. Газопровод, улица 5-я Лесные Поляны, 29, ш. Калужское (6 км до МКАД), ш. Киевское (13 км до МКАД)",51.9/40.0/5.0,"1/7, Монолитный","78200.0 руб./ За месяц, Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес"
315904515,"2, Изолированная",Квартира,м. Бунинская аллея (6 мин на машине),"Москва, Сосенское поселение, проспект Куприна, 18к2, ш. Калужское (8 км до МКАД), ш. Варшавское (12 км до МКАД)",61.0/23.0/18.0,"15/17, Панельный","85000.0 руб./ За месяц, Залог - 85000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес"
315195131,"3, Изолированная",Квартира,м. Тёплый Стан (13 мин пешком),"Москва, улица Теплый Стан, 15К3",60.6/36.0/7.0,"8/9, Панельный","88400.0 руб./ За месяц, Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес"
315056181,"2, Изолированная",Квартира,м. Октябрьская (10 мин пешком),"Москва, Мытная улица, 24",36.3/19.5/6.0,"3/12, Блочный","88400.0 руб./ За месяц, Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес"
315386536,"2, Изолированная",Квартира,м. Проспект Вернадского (7 мин пешком),"Москва, улица Удальцова, 12",46.3/28.1/9.0,"9/10, Панельный","90000.0 руб./ За месяц, Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес"
315933334,"3, Изолированная",Квартира,м. Зябликово (9 мин пешком),"Москва, Воронежская улица, 20к1",59.9/39.1/8.0,"9/9, Панельный","90000.0 руб./ За месяц, Залог - 90000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес"
316679296,"2, Изолированная",Квартира,м. Некрасовка (7 мин пешком),"Москва, Рождественская улица, 27к1, ш. Новорязанское (11 км до МКАД), ш. Косинское (6 км до МКАД)",63.0,2/25,"65000.0 руб./ За месяц, Залог - 65000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес"
316425939,2,Квартира,м. Спартак (6 мин пешком),"Москва, Волоколамское шоссе, 71/22к1",35.0,7/22,"70000.0 руб./ За месяц, Залог - 70000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес"
307534190,2,Квартира,м. Белокаменная (24 мин пешком),"Москва, Краснобогатырская улица, 11",54.0/27.0/9.0,"11/18, Панельный","80000.0 руб./ За месяц, Залог - 100000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес"
316559432,2,Квартира,м. Аминьевская (7 мин пешком),"Москва, Очаковское шоссе, 5к3",32.3/10.0/16.0,32/33,"87000.0 руб./ За месяц, Залог - 87000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес"
316012046,2,Квартира,м. Ховрино (1 мин пешком),"Москва, улица Дыбенко, 7/1",37.0/25.0,18/32,"90000.0 руб./ За месяц, Залог - 90000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес"
313252854,"2, Изолированная",Квартира,м. Бутово (11 мин пешком),"Москва, 2-я Мелитопольская улица, 21К2, ш. Калужское (15 км до МКАД), ш. Варшавское (5 км до МКАД)",52.3/30.0/10.0,"7/12, Панельный","60000.0 руб./ За месяц, Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес"
314895910,"2, Смежная",Квартира,м. Бунинская аллея (6 мин на машине),"Москва, Сосенское поселение, пос. Коммунарка, улица Александры Монаховой, 85к3, ш. Калужское (8 км до МКАД), ш. Варшавское (10 км до МКАД)",39.1/24.0/10.0,"13/17, Панельный","64900.0 руб./ За месяц, Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес"
313087952,"2, Изолированная",Квартира,м. Борисово (9 мин пешком),"Москва, Братеевская улица, 21К2",51.1/30.0/8.0,"17/17, Панельный","68000.0 руб./ За месяц, Залог - 68000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес"
314982998,"2, Изолированная",Квартира,м. Нижегородская (10 мин пешком),"Москва, Перовское шоссе, 2к2",48.6/25.0/17.0,"3/28, Панельный","75000.0 руб./ За месяц, Залог - 75000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес"
311378174,"2, Изолированная",Квартира,м. Саларьево (12 мин пешком),"Москва, улица Саларьевская, 14к2, ш. Киевское (4 км до МКАД), ш. Сколковское (13 км до МКАД)",46.9/24.0/10.0,"3/15, Монолитный","79200.0 руб./ За месяц, Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес"
